timestamp,mac,rssi,frame
2024-02-14T11:18:37Z,86:20:F5:F4:11:42,-86,QAAAAP///////4Yg9fQRQv///////zByAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:40Z,26:A5:E7:47:9A:D0,-76,QAAAAP///////yal50ea0P///////5B6AAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:18:42Z,DA:81:66:21:BA:6F,-90,QAAAAP///////9qBZiG6b////////8BlAAABCIKEi5YMEhgkMgQwSGBs3QcAUPIIABMAAwEI
2024-02-14T11:18:46Z,0A:25:03:7A:07:45,-93,QAAAAP///////wolA3oHRf///////7DaAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:46Z,0A:25:03:7A:07:45,-91,QAAAAP///////wolA3oHRf///////9DaAAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:46Z,4E:5A:B0:86:6A:2A,-82,QAAAAP///////05asIZqKv///////yDoAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:18:46Z,4E:5A:B0:86:6A:2A,-83,QAAAAP///////05asIZqKv///////5C7AAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:18:48Z,82:15:52:BD:CF:92,-89,QAAAAP///////4IVUr3Pkv///////1D2AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:48Z,82:15:52:BD:CF:92,-89,QAAAAP///////4IVUr3Pkv///////3D2AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:18:48Z,E2:E5:DD:20:30:6B,-77,QAAAAP///////+Ll3SAwa////////0CrAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:18:49Z,C2:29:BD:D7:63:7B,-86,QAAAAP///////8Ipvddje////////8ALAAdWb2xpYTcxAQQCBAsWMggMEhgkMEhgbAMBCC0aLUAX/wAAAAAAAAAAAAAAAAAAAAAAAAAAAAB/BAAACIRrBw/////////dCwAX
2024-02-14T11:18:49Z,C2:29:BD:D7:63:7B,-92,QAAAAP///////8Ipvddje////////+ALAAdLeWl2MTUwAQQCBAsWMggMEhgkMEhgbAMBCC0aLUAX/wAAAAAAAAAAAAAAAAAAAAAAAAAAAAB/BAAACIRrBw/////////dCwAX
2024-02-14T11:18:49Z,C2:29:BD:D7:63:7B,-91,QAAAAP///////8Ipvddje////////wAMAAABBAIECxYyCAwSGCQwSGBsAwEILRotQBf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////w==
2024-02-14T11:18:49Z,AE:D7:D0:EE:05:EC,-78,QAAAAP///////67X0O4F7P///////1D+AAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:18:49Z,AE:D7:D0:EE:05:EC,-78,QAAAAP///////67X0O4F7P///////2D+AAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:19:00Z,CE:0F:31:81:2C:A3,-67,QAAAAP///////84PMYEso/////////A5AAABBAIECxYyCAwSGCQwSGBsAwEILRotQBf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////w==
2024-02-14T11:19:00Z,CE:0F:31:81:2C:A3,-68,QAAAAP///////84PMYEso////////wA6AAABBAIECxYyCAwSGCQwSGBsAwEILRotQBf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////w==
2024-02-14T11:19:00Z,CE:0F:31:81:2C:A3,-85,QAAAAP///////84PMYEso////////5A6AAABCAwSGCQwSGBsLRpvABf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////78MMlCAD/7/AAD+/wAA
2024-02-14T11:19:00Z,CE:0F:31:81:2C:A3,-87,QAAAAP///////84PMYEso////////6A6AAABCAwSGCQwSGBsLRpvABf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////78MMlCAD/7/AAD+/wAA
2024-02-14T11:19:01Z,3E:3E:7A:5D:9A:DE,-88,QAAAAP///////z4+el2a3v///////2D1AAABCIwSmCSwSGBsLRpvABv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACC/DDJwgA/+/wAA/v8AAP8cIwEICAAA
2024-02-14T11:19:01Z,52:50:45:54:13:A3,-82,QAAAAP///////1JQRVQTo////////7CWAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:19:01Z,52:50:45:54:13:A3,-82,QAAAAP///////1JQRVQTo////////8CWAAABBIKEi5YyCAwSGCQwSGBsAwEILRotQBv/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8LAAAIBAAAAEAAACD/HCMBCAgYAIAgMAIA
2024-02-14T11:19:02Z,B4:B6:76:26:16:37,-90,QAAAAP///////7S2diYWN////////+B8AARBUC0wAQgCBAsWDBIYJDIEMEhgbC0aPAkX//8AAAAAAAAAAAAAAAAAAAAAAAAAAAA=
2024-02-14T11:19:02Z,B4:B6:76:26:16:37,-88,QAAAAP///////7S2diYWN/////////B8AAABCAIECxYMEhgkMgQwSGBsLRo8CRf//wAAAAAAAAAAAAAAAAAAAAAAAAAAAA==
2024-02-14T11:19:03Z,FA:7E:95:0C:45:97,-86,QAAAAP////////p+lQxFl////////7A7AAABCAwSGCQwSGBsLRpvABf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////78MMlCAD/7/AAD+/wAA
2024-02-14T11:19:03Z,FA:7E:95:0C:45:97,-87,QAAAAP////////p+lQxFl////////8A7AAABCAwSGCQwSGBsLRpvABf/AAAAAAAAAAAAAAAAAAAAAAAAAAAAAH8EAAAIhGsHD////////78MMlCAD/7/AAD+/wAA
